City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Ardesen,TR,78.39,scattered clouds,41.1911,40.9875,Green Suada Hotel
138,Ahuimanu,US,76.86,clear sky,21.4447,-157.8378,Paradise Bay Resort
139,Castro,BR,65.23,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
141,Grand-Lahou,CI,76.62,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
145,Praia Da Vitoria,PT,79.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
146,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
147,Shiraoi,JP,75.38,light rain,42.55,141.35,Pirika Rera Hotel
148,Moron,AR,57.09,light rain,-34.6534,-58.6198,Hotel Morón
149,East London,ZA,61.74,scattered clouds,-33.0153,27.9116,Tu Casa
150,Kapatalan,PH,74.37,moderate rain,14.4741,121.4903,Great Valley Mountain Farm Laguna
151,Polessk,RU,68.97,overcast clouds,54.862,21.1028,Vocation House
152,Hovd,MN,72.79,overcast clouds,48.0056,91.6419,Hotel Khovd
156,Boat Of Garten,GB,63.63,overcast clouds,57.2491,-3.759,The Boat Country Inn & Restaurant
158,Ellensburg,US,73.53,clear sky,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
159,Vostok,RU,55.89,scattered clouds,46.4856,135.8833,
160,Mount Isa,AU,58.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
161,Hambantota,LK,78.67,overcast clouds,6.1241,81.1185,Bungalow 63
163,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
170,Whitehaven,GB,68.65,scattered clouds,54.549,-3.5841,Premier Inn Whitehaven hotel
172,Brae,GB,55.98,overcast clouds,60.3964,-1.353,Busta House Hotel
173,Arawa,PG,75.63,broken clouds,-6.2132,155.5367,Coastline Guest House
174,Nehe,CN,59.92,clear sky,48.4833,124.8333,Vladimir Homestay
175,Sorland,NO,55.26,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
177,Richards Bay,ZA,65.8,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
178,Tuktoyaktuk,CA,55.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
182,Half Moon Bay,US,71.58,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
184,Tocopilla,CL,64.18,clear sky,-22.092,-70.1979,Hotel Galvarino
185,Uvat,RU,65.86,scattered clouds,59.1433,68.8953,Uvatskiy Rayonnyy Dom Kul'tury
188,Nemuro,JP,66.67,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
189,Leh,IN,68.99,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
190,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
191,Tongliao,CN,64.49,clear sky,43.6125,122.2653,Meirujia Hotel
192,Cape Town,ZA,59.41,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
195,San Jose,US,72.91,few clouds,37.3394,-121.895,The Westin San Jose
197,Port Elizabeth,ZA,62.1,clear sky,-33.918,25.5701,39 On Nile Guest House
199,Caravelas,BR,79.47,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
200,Pailon,BO,70.7,overcast clouds,-17.65,-62.75,La plaza
203,Yurga,RU,57.88,light rain,55.7231,84.8861,Gostinitsa 12 Futov
205,Eureka,US,63.21,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
207,Padang,ID,77.02,few clouds,-0.9492,100.3543,Mercure Padang
208,Bollnas,SE,68.13,few clouds,61.3482,16.3946,Grand Hotel
210,Tingi,TZ,60.51,clear sky,-11.3,35.0333,
211,Am Timan,TD,76.15,light rain,11.0297,20.2827,Palais du chef Canton Salamt
212,Kibi,GH,76.8,overcast clouds,6.1649,-0.5538,Gold City Hotel
213,Auki,SB,75.81,broken clouds,-8.7676,160.7034,Auki Motel
214,Pandan,PH,78.64,overcast clouds,14.0453,124.1694,Bonifacio Lodge
217,Goryachegorsk,RU,55.38,scattered clouds,55.4053,88.9154,
218,Yellowknife,CA,59.52,broken clouds,62.456,-114.3525,The Explorer Hotel
219,Meulaboh,ID,76.78,scattered clouds,4.1363,96.1285,Kost Pria
221,Sao Filipe,CV,79.92,light rain,14.8961,-24.4956,Hotel Xaguate
222,Lucapa,AO,78.35,clear sky,-8.4192,20.7447,Lírio Mendes
223,Bay-Khaak,RU,61.93,overcast clouds,51.1667,94.5,
225,Osa,RU,70.93,broken clouds,57.2829,55.4567,Гостиница Оса
226,Thayetmyo,MM,74.79,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
227,Vanimo,PG,76.28,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
229,Nha Trang,VN,78.8,light rain,12.25,109.1833,Hanoi Golden Hotel
230,Guangyuan,CN,79.93,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
231,Daru,PG,76.73,overcast clouds,-9.0763,143.2092,Daru Lodge
232,Betioky,MG,73.11,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
235,Williams Lake,CA,77.05,clear sky,52.1415,-122.1445,Stampeder Motel
237,Galesong,ID,75.22,clear sky,-5.3166,119.3661,Sapriadi Appy
238,Alofi,NU,71.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
243,Aksarka,RU,69.84,scattered clouds,66.5606,67.7975,
244,Cidreira,BR,58.82,overcast clouds,-30.1811,-50.2056,Hotel Castelo
247,Strelka,RU,60.3,overcast clouds,58.0728,93.0344,"Gostinitsa ""Angara"""
248,Torbay,CA,74.28,broken clouds,47.6666,-52.7314,Gallows Cove
249,Morondava,MG,73.74,clear sky,-20.2833,44.2833,La Case Bambou
250,Cairns,AU,71.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
251,Vrbno Pod Pradedem,CZ,68.77,broken clouds,50.1209,17.3832,Hotel Singer
252,Yining,CN,78.96,overcast clouds,29.0361,114.5636,Xiushui Hotel
253,Tuy Hoa,VN,75.9,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
254,Belaya Gora,RU,59.36,broken clouds,68.5333,146.4167,
255,Novyy Urengoy,RU,72.99,scattered clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
256,Salekhard,RU,67.03,scattered clouds,66.53,66.6019,Hotel 89
258,Diego De Almagro,CL,72.07,clear sky,-26.3667,-70.05,hotel luna del desierto
259,Quatre Cocos,MU,69.91,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
260,Beruwala,LK,78.4,overcast clouds,6.4788,79.9828,The Palms Hotel
262,Buzdyak,RU,69.64,overcast clouds,54.5833,54.55,Tgk Alisa
265,Okhotsk,RU,56.86,overcast clouds,59.3833,143.3,
266,Nouadhibou,MR,75.36,clear sky,20.931,-17.0347,El Medina
268,Chernogorsk,RU,63.97,clear sky,53.8236,91.2842,Chernogorsk
278,Pangody,RU,74.5,scattered clouds,65.85,74.4859,Elizaveta Shevchuk's House
279,Bandarbeyla,SO,76.91,broken clouds,9.4942,50.8122,JABIR HOTEL
280,Bichura,RU,56.16,broken clouds,50.5881,107.6022,Gostinitsa Uyut
282,Chuy,UY,55.0,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
286,Bulaevo,KZ,67.3,overcast clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
288,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
293,Ziarat,PK,68.25,few clouds,30.3823,67.7282,Pakiza Guest House ziarat
295,Kushiro,JP,69.33,light rain,42.975,144.3747,Toyoko Inn Kushiro Jujigai
296,Beira,MZ,69.89,clear sky,-19.8436,34.8389,Beira Terrace Hotel
298,Bjornevatn,NO,55.74,broken clouds,69.6672,29.9847,Snowhotel Kirkenes & Gamme Northern Lights Cabins
300,Bria,CF,72.16,light rain,6.5423,21.9863,WFP Guesthouse
301,Hopeman,GB,69.13,broken clouds,57.7068,-3.4291,Ardent House
303,Milkovo,RU,58.17,broken clouds,54.7167,158.6167,"Hotel ""Geologist"""
304,San Nicolas,PH,78.15,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
307,Nsanje,MW,71.19,clear sky,-16.92,35.262,Nsanje Discovery Lodge
309,Marang,MY,78.71,light rain,5.2056,103.2059,DBarakah Homestay
311,Kilrush,IE,69.55,broken clouds,52.6397,-9.4833,Innwood House
312,Erenhot,CN,72.23,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
313,Xingyi,CN,61.14,clear sky,24.1877,102.817,
315,Antalaha,MG,69.42,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
316,Khabarovsk,RU,62.4,clear sky,48.4808,135.0928,Хабаровск Сити бутик-отель
317,Puerto Baquerizo Moreno,EC,72.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
318,Atambua,ID,70.59,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
319,Galle,LK,78.04,broken clouds,6.0367,80.217,Amangalla
320,Yar-Sale,RU,72.55,scattered clouds,66.8333,70.8333,Yalemd
323,Dingle,PH,74.7,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
324,Mungwi,ZM,64.53,clear sky,-10.1732,31.3694,Ilamfya Guest House
326,Saveni,RO,78.98,scattered clouds,47.95,26.8667,
332,Ayagoz,KZ,71.49,overcast clouds,47.9714,80.4392,Gostinitsa Nur
334,Kruisfontein,ZA,59.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
335,Faanui,PF,76.59,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
336,Northam,GB,75.25,clear sky,51.0333,-4.2167,Durrant House Hotel
337,Pervomayskoye,RU,75.25,overcast clouds,43.919,46.7102,
339,Geraldton,AU,57.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
340,Mandalgovi,MN,66.54,overcast clouds,45.7625,106.2708,В.Ганбат
341,Teeli,RU,58.96,overcast clouds,51.0333,90.2333,
345,Sheboygan,US,69.73,overcast clouds,43.7333,-87.9334,Baymont by Wyndham Plymouth
346,Kuito,AO,67.21,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
349,Xingcheng,CN,72.28,overcast clouds,40.6167,120.7167,New Century Hotel
350,Peniche,PT,78.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
351,Mayya,RU,58.32,broken clouds,61.7333,130.2811,
353,Kozhva,RU,59.25,broken clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
354,Vuktyl,RU,65.12,broken clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
355,Nabire,ID,75.43,light rain,-3.3667,135.4833,Hotel Nusantara I
356,Turukhansk,RU,62.29,light rain,65.8167,87.9833,"ООО ""Туруханская пушнина"""
357,Khasan,RU,68.79,broken clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
360,Mogadishu,SO,76.17,broken clouds,2.0371,45.3438,Hotel Juba
361,Nazarovo,RU,57.99,clear sky,56.0064,90.3914,Zarya
363,Makakilo City,US,77.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
364,Pisco,PE,64.02,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
366,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
367,Khandyga,RU,58.59,scattered clouds,62.6667,135.6,Apel'sin
368,Manjeshwar,IN,77.95,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
374,Moshny,UA,75.9,few clouds,49.5147,31.7476,Кемпинг
376,Port-Cartier,CA,70.02,clear sky,50.0334,-66.8654,Le Q'Artier
377,Khatanga,RU,56.03,overcast clouds,71.9667,102.5,"""Khatanga"""
378,Derzhavinsk,KZ,64.94,scattered clouds,51.1,66.3167,Ooo.khim Baza
379,Marawi,PH,67.73,light rain,7.9986,124.2928,Derogongan Residence
381,Aklavik,CA,58.06,overcast clouds,68.2191,-135.0107,Aklavik Inn
383,Noumea,NC,67.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
384,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
386,Poum,NC,72.12,broken clouds,-20.2333,164.0167,
389,Livingstonia,MW,61.5,clear sky,-10.606,34.1063,Stone House Guest House
391,Fortuna,US,62.94,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
395,Maumere,ID,77.58,scattered clouds,-8.6199,122.2111,Sylvia Hotel
398,Palmares Do Sul,BR,58.86,overcast clouds,-30.2578,-50.5097,Hotel Campos Dourados.
400,Magadan,RU,55.31,overcast clouds,59.5667,150.8,Magadan hotel
401,Tagusao,PH,78.85,broken clouds,9.1924,117.8141,Caycay future beach resort
402,Qostanay,KZ,73.69,clear sky,53.1667,63.5833,Hotel Fessla
403,Weligama,LK,77.16,broken clouds,5.9667,80.4167,Weligama Bay Resort
404,Rafaela,AR,55.99,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
407,Kenai,US,56.08,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
408,Soyo,AO,70.99,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
411,Uren,RU,69.28,scattered clouds,57.4552,45.7852,Kseal'
413,Krasnovishersk,RU,68.16,broken clouds,60.4078,57.082,Vishera hotel
414,Ialibu,PG,56.53,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
415,Abha,SA,69.62,scattered clouds,18.2164,42.5053,Abha Hotel
418,Knyaze-Volkonskoye,RU,62.94,scattered clouds,48.4642,135.4567,Obshchezhitiye
421,Laramie,US,76.95,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
426,High Prairie,CA,61.72,few clouds,55.4334,-116.4858,Royal Star Motor Inn
429,Sept-Iles,CA,70.32,scattered clouds,50.2001,-66.3821,Comfort Inn
431,Hualmay,PE,65.97,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
433,Sorong,ID,78.21,light rain,-0.8833,131.25,Waigo Splash Hotel
434,Shitanjing,CN,68.85,overcast clouds,39.2342,106.3439,Yingbin Hotel
435,Shahrud,IR,79.63,clear sky,36.4182,54.9763,Royal Hotel
437,Harper,LR,76.44,broken clouds,4.375,-7.7169,Screensaver
438,Cervo,ES,72.97,clear sky,43.6702,-7.4101,Hotel Spa Galatea
441,Yabrud,SY,76.59,clear sky,33.9674,36.6574,صالة افراح الاندلس
442,Havre-Saint-Pierre,CA,68.36,clear sky,50.2334,-63.5986,Auberge Niapiskau
443,Karratha,AU,69.4,light rain,-20.7377,116.8463,ibis Styles Karratha
444,Kunming,CN,66.13,clear sky,25.0389,102.7183,昆明佳华广场酒店
445,Owerri,NG,75.76,moderate rain,5.4833,7.0304,Dream Land Hotel
449,Vzmorye,RU,69.01,scattered clouds,54.6961,20.2361,House with Russian bath
451,Whitley Bay,GB,74.48,few clouds,55.0397,-1.4471,Cara Guesthouse
452,Grand Gaube,MU,70.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
453,Labuhan,ID,77.61,broken clouds,-6.8844,112.2051,DoubleFAG
455,Tongchuan,CN,79.36,broken clouds,35.0806,109.0897,Tongchuan Hotel
456,Flin Flon,CA,75.04,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
457,Kholm,RU,58.55,light rain,59.2667,32.85,
458,Plettenberg Bay,ZA,60.42,clear sky,-34.0527,23.3716,Thanda Vista B&B
460,Mujiayingzi,CN,69.46,overcast clouds,42.1167,118.7833,Jinjiang Hotel
461,Tura,IN,75.85,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
462,Ha Giang,VN,77.31,few clouds,22.8333,104.9833,Truong Xuan Resort
463,Alpena,US,68.18,overcast clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
464,Moose Factory,CA,57.18,clear sky,51.2585,-80.6094,Cree Village Eco Lodge
466,Ambilobe,MG,69.1,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
467,Give,DK,69.15,broken clouds,55.8398,9.25,Diagonalkroen ApS
468,Yichun,CN,56.17,clear sky,47.7,128.9,锦江酒店
469,Bourail,NC,66.99,overcast clouds,-21.5667,165.4833,Motel Allamanda
470,Ilo,PE,61.66,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
472,Ulloa,CO,76.44,scattered clouds,4.7044,-75.7403,Finca Hacienda Lucesita
473,San Vicente,AR,65.98,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
475,Nynashamn,SE,72.16,broken clouds,58.9034,17.9479,Nynäs Havsbad
477,Jamame,SO,74.39,broken clouds,0.0722,42.7506,
478,Florianopolis,BR,63.7,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
480,Port Hardy,CA,59.18,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
487,Honiara,SB,75.76,overcast clouds,-9.4333,159.95,Heritage Park Hotel
488,Taganak,PH,71.74,overcast clouds,6.0833,118.3,Taganak
492,Canaries,ES,72.39,few clouds,28.0,-15.5,Villa del Monte
494,Vallenar,CL,70.47,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
495,Amos,CA,62.19,light rain,48.5669,-78.1162,Amosphère Resort
496,Huarmey,PE,67.62,broken clouds,-10.0681,-78.1522,Hotel Miramar
497,North Bend,US,59.16,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
499,Komsomolets,KZ,70.23,overcast clouds,53.7453,62.0708,Avtostoyanka
500,Kismayo,SO,75.2,broken clouds,-0.3582,42.5454,Agan-Hotel
501,Laguna,US,79.97,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
