City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint-Augustin,CA,51.226,-58.6502,65.77,45,80,9.35,broken clouds
79,Severnyy,RU,50.677,36.5532,78.84,50,0,6.71,clear sky
80,Port Hedland,AU,-20.3167,118.5667,59.05,88,25,5.75,scattered clouds
81,Jamestown,US,42.097,-79.2353,76.59,72,100,12.66,mist
82,Ancud,CL,-41.8697,-73.8203,48.22,66,23,4.34,few clouds
83,Georgetown,MY,5.4112,100.3354,84.13,77,20,3.44,few clouds
84,Mahebourg,MU,-20.4081,57.7,70.09,78,40,5.75,scattered clouds
85,Asau,RO,46.4333,26.4,76.28,56,50,1.88,scattered clouds
86,Coquimbo,CL,-29.9533,-71.3436,60.53,58,0,9.22,clear sky
87,Miri,MY,4.4148,114.0089,78.94,94,20,3.44,few clouds
88,New Norfolk,AU,-42.7826,147.0587,36.72,84,6,2.71,clear sky
89,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,78,56,6.15,light rain
90,Gioia Tauro,IT,38.424,15.899,89.29,64,6,4.92,clear sky
91,Koungou,YT,-12.7336,45.2042,73.11,78,0,0.0,clear sky
92,Sobolevo,RU,54.4299,31.8996,62.19,70,93,5.06,overcast clouds
93,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,5.75,scattered clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,75.16,83,87,8.01,overcast clouds
95,Vila Velha,BR,-20.3297,-40.2925,87.75,69,0,11.5,clear sky
96,Bressanone,IT,46.715,11.656,87.57,51,21,4.36,few clouds
97,Dunedin,NZ,-45.8742,170.5036,39.79,69,88,4.0,overcast clouds
98,Aykhal,RU,66.0,111.5,44.4,94,100,1.77,overcast clouds
99,Banda Aceh,ID,5.5577,95.3222,79.21,78,99,12.66,overcast clouds
100,Kamina,CD,-8.7386,24.9906,73.17,24,51,5.06,broken clouds
101,Victoria,HK,22.2855,114.1577,82.45,87,58,4.0,moderate rain
102,Mount Gambier,AU,-37.8333,140.7667,42.53,96,29,2.51,scattered clouds
103,Gardelegen,DE,52.5252,11.3952,80.89,38,42,7.9,scattered clouds
104,La Ronge,CA,55.1001,-105.2842,71.85,53,20,12.66,few clouds
105,Marzuq,YE,14.4,46.4667,78.37,71,47,8.12,light rain
106,Souillac,MU,-20.5167,57.5167,70.18,78,40,5.75,scattered clouds
107,Bluff,NZ,-46.6,168.3333,34.81,67,2,17.67,clear sky
108,Chokurdakh,RU,70.6333,147.9167,56.79,45,99,6.44,overcast clouds
109,Jishou,CN,28.3167,109.7167,81.12,73,97,1.28,overcast clouds
110,Bengkulu,ID,-3.8004,102.2655,76.17,90,18,6.78,few clouds
111,Pevek,RU,69.7008,170.3133,32.13,88,21,4.94,few clouds
112,Ugoofaaru,MV,5.6667,73.0,81.23,84,100,14.54,overcast clouds
113,Esmeraldas,BR,-19.7625,-44.3139,89.71,22,77,9.71,broken clouds
114,Caconda,AO,-13.7333,15.0667,71.65,13,0,4.43,clear sky
115,Lerwick,GB,60.1545,-1.1494,57.2,97,100,16.06,overcast clouds
116,Kaitangata,NZ,-46.2817,169.8464,35.11,78,43,8.08,scattered clouds
117,Kramat,ID,-8.1311,113.4499,73.76,94,99,1.66,light rain
118,Ponta Do Sol,PT,32.6667,-17.1,81.72,69,2,4.61,clear sky
119,Upernavik,GL,72.7868,-56.1549,42.82,74,99,4.9,overcast clouds
120,Hobyo,SO,5.3505,48.5268,76.78,78,83,27.38,broken clouds
121,Narsaq,GL,60.9167,-46.05,61.02,64,100,6.71,overcast clouds
122,Santa Maria,BR,-29.6842,-53.8069,58.3,77,100,9.22,overcast clouds
123,Lasa,IT,46.6166,10.7002,81.48,53,62,3.2,broken clouds
124,Henties Bay,NA,-22.116,14.2845,57.4,83,11,8.75,few clouds
125,Yatou,CN,37.15,122.3833,76.66,96,94,3.96,overcast clouds
126,Carsamba,TR,41.1989,36.7219,80.35,74,20,3.44,few clouds
127,Ulladulla,AU,-35.35,150.4667,46.06,87,15,8.72,few clouds
128,Ginda,IN,30.6945,78.4932,67.6,86,100,2.91,overcast clouds
129,Birao,CF,10.2849,22.7882,75.45,86,28,5.93,light rain
130,Birjand,IR,32.8663,59.2211,84.67,17,0,16.11,clear sky
131,Talnakh,RU,69.4865,88.3972,65.21,94,49,7.52,moderate rain
132,Isangel,VU,-19.55,169.2667,74.34,88,5,10.04,clear sky
133,Veshkayma,RU,54.05,47.1333,69.67,58,87,2.55,overcast clouds
134,Sabha,LY,27.0377,14.4283,97.3,14,1,8.32,clear sky
135,Port Alfred,ZA,-33.5906,26.891,60.19,96,69,6.58,moderate rain
136,Tasiilaq,GL,65.6145,-37.6368,41.16,95,100,4.27,overcast clouds
137,Ardesen,TR,41.1911,40.9875,78.39,76,47,1.12,scattered clouds
138,Ahuimanu,US,21.4447,-157.8378,76.86,75,0,9.22,clear sky
139,Castro,BR,-24.7911,-50.0119,65.23,74,100,2.37,overcast clouds
140,Khorixas,NA,-20.3667,14.9667,78.8,15,1,10.38,clear sky
141,Grand-Lahou,CI,5.1367,-5.0242,76.62,75,98,9.93,overcast clouds
142,Houma,US,29.5958,-90.7195,90.0,74,40,9.22,scattered clouds
143,Cabo San Lucas,MX,22.8909,-109.9124,87.62,74,100,10.36,overcast clouds
144,Muros,ES,42.7762,-9.0603,91.69,74,9,2.59,clear sky
145,Praia Da Vitoria,PT,38.7333,-27.0667,79.75,73,40,10.76,scattered clouds
146,Saint-Pierre,RE,-21.3393,55.4781,67.91,79,0,5.75,clear sky
147,Shiraoi,JP,42.55,141.35,75.38,97,100,12.75,light rain
148,Moron,AR,-34.6534,-58.6198,57.09,66,54,7.54,light rain
149,East London,ZA,-33.0153,27.9116,61.74,100,40,5.75,scattered clouds
150,Kapatalan,PH,14.4741,121.4903,74.37,97,100,3.8,moderate rain
151,Polessk,RU,54.862,21.1028,68.97,71,98,5.93,overcast clouds
152,Hovd,MN,48.0056,91.6419,72.79,36,91,8.32,overcast clouds
153,Bayeux,BR,-7.125,-34.9322,83.03,65,40,14.97,scattered clouds
154,Barrow,US,71.2906,-156.7887,38.71,75,32,11.99,scattered clouds
155,Oum Hadjer,TD,13.2954,19.6966,80.94,74,57,2.44,broken clouds
156,Boat Of Garten,GB,57.2491,-3.759,63.63,68,99,8.66,overcast clouds
157,Akoupe,CI,6.39,-3.9003,81.95,61,99,3.49,overcast clouds
158,Ellensburg,US,46.9965,-120.5479,73.53,43,0,3.44,clear sky
159,Vostok,RU,46.4856,135.8833,55.89,95,34,5.12,scattered clouds
160,Mount Isa,AU,-20.7333,139.5,58.77,29,0,8.05,clear sky
161,Hambantota,LK,6.1241,81.1185,78.67,82,90,14.99,overcast clouds
162,Hithadhoo,MV,-0.6,73.0833,82.09,66,100,3.67,overcast clouds
163,Thompson,CA,55.7435,-97.8558,68.16,88,75,2.3,broken clouds
164,Coihaique,CL,-45.5752,-72.0662,41.61,70,75,6.91,broken clouds
165,Cockburn Town,TC,21.4612,-71.1419,85.96,70,75,13.8,broken clouds
166,Mahibadhoo,MV,3.7833,72.9667,81.91,80,92,14.12,overcast clouds
167,Kiama,AU,-34.6833,150.8667,54.0,80,13,3.0,light rain
168,Vardo,NO,70.3705,31.1107,53.58,71,75,13.8,broken clouds
169,Katsuura,JP,35.1333,140.3,81.03,89,98,20.09,overcast clouds
170,Whitehaven,GB,54.549,-3.5841,68.65,57,38,3.0,scattered clouds
171,Alta Floresta,BR,-9.8756,-56.0861,101.93,22,29,3.38,scattered clouds
172,Brae,GB,60.3964,-1.353,55.98,98,100,13.2,overcast clouds
173,Arawa,PG,-6.2132,155.5367,75.63,91,79,0.83,broken clouds
174,Nehe,CN,48.4833,124.8333,59.92,51,1,12.1,clear sky
175,Sorland,NO,67.667,12.6934,55.26,81,100,17.9,overcast clouds
176,Tiznit,MA,29.5833,-9.5,80.02,37,0,8.88,clear sky
177,Richards Bay,ZA,-28.783,32.0377,65.8,84,94,10.92,light rain
178,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,76,75,16.11,broken clouds
179,Touros,BR,-5.1989,-35.4608,82.18,65,7,19.17,clear sky
180,Olinda,BR,-8.0089,-34.8553,80.33,65,40,13.8,scattered clouds
181,Rio Gallegos,AR,-51.6226,-69.2181,39.25,70,0,10.36,clear sky
182,Half Moon Bay,US,37.4636,-122.4286,71.58,80,100,11.5,overcast clouds
183,Lebu,CL,-37.6167,-73.65,50.9,71,17,9.35,few clouds
184,Tocopilla,CL,-22.092,-70.1979,64.18,65,5,6.98,clear sky
185,Uvat,RU,59.1433,68.8953,65.86,73,31,3.96,scattered clouds
186,Ostrovnoy,RU,68.0531,39.5131,52.65,78,94,14.92,overcast clouds
187,Malanville,BJ,11.8685,3.3899,85.78,66,99,8.84,overcast clouds
188,Nemuro,JP,43.3236,145.575,66.67,99,91,20.87,overcast clouds
189,Leh,IN,34.1667,77.5833,68.99,44,74,6.44,broken clouds
190,Kodiak,US,57.79,-152.4072,56.71,82,100,0.0,overcast clouds
191,Tongliao,CN,43.6125,122.2653,64.49,54,0,8.93,clear sky
192,Cape Town,ZA,-33.9258,18.4232,59.41,77,0,5.75,clear sky
193,Tuatapere,NZ,-46.1333,167.6833,27.84,92,12,4.81,few clouds
194,Saint George,US,37.1041,-113.5841,91.8,27,0,4.61,clear sky
195,San Jose,US,37.3394,-121.895,72.91,68,20,9.22,few clouds
196,Guerrero Negro,MX,27.9769,-114.0611,80.87,61,11,9.1,few clouds
197,Port Elizabeth,ZA,-33.918,25.5701,62.1,91,0,2.3,clear sky
198,Kavaratti,IN,10.5669,72.642,80.71,84,100,20.78,overcast clouds
199,Caravelas,BR,-17.7125,-39.2481,79.47,60,26,11.83,scattered clouds
200,Pailon,BO,-17.65,-62.75,70.7,75,99,9.48,overcast clouds
201,Roma,US,43.2128,-75.4557,91.69,75,44,1.99,moderate rain
202,Loughborough,GB,52.7667,-1.2,85.26,40,0,9.22,clear sky
203,Yurga,RU,55.7231,84.8861,57.88,95,33,7.34,light rain
204,Muroto,JP,33.2833,134.15,83.01,83,100,8.7,overcast clouds
205,Eureka,US,40.8021,-124.1637,63.21,84,1,1.99,clear sky
206,Safaga,EG,26.7292,33.9365,93.76,38,5,12.73,clear sky
207,Padang,ID,-0.9492,100.3543,77.02,82,23,3.74,few clouds
208,Bollnas,SE,61.3482,16.3946,68.13,46,20,6.15,few clouds
209,Ayan,RU,56.45,138.1667,54.43,99,100,20.0,heavy intensity rain
210,Tingi,TZ,-11.3,35.0333,60.51,56,2,3.0,clear sky
211,Am Timan,TD,11.0297,20.2827,76.15,84,95,4.32,light rain
212,Kibi,GH,6.1649,-0.5538,76.8,69,96,3.27,overcast clouds
213,Auki,SB,-8.7676,160.7034,75.81,89,84,5.06,broken clouds
214,Pandan,PH,14.0453,124.1694,78.64,84,99,4.63,overcast clouds
215,Sinjar,IQ,36.3209,41.8754,92.46,22,0,11.36,clear sky
216,Kosh-Agach,RU,50.0,88.6667,54.64,65,98,4.38,overcast clouds
217,Goryachegorsk,RU,55.4053,88.9154,55.38,83,32,2.95,scattered clouds
218,Yellowknife,CA,62.456,-114.3525,59.52,82,75,10.36,broken clouds
